【0030】Completed. 成功backup683頁，有6頁遺失.,Backed up,Lost,
"[2306] 網站downjor但係仍然有方法backup,睇下面step 1",684,7,691
"STEP 1 [UPDATED 2306]: 用 ARCHIVE.ORG BACKUP
(用其他網站例如 archive.is, archive.today 也可，但最好 archive.org)

1. 先上 Google 搜尋 URL 
2. 之後按“頁庫” （按一下睇screen cap)
3. copy link 落去 archive.org，按 save 
(URL will start with ""https://webcache.googleusercontent.com"")
4. copy archive.org link 去 COLUMN C
","Step2: 如果已經 backup , mark Yes)。失敗就No",Step3: 如已經upload上網，可以貼埋link到呢到   <<<要hyper link定點? (Archive results link),98.99%
,,,
URL,HAS BACKUP?,,
https://www.thestandnews.com/politics/%E9%99%B3%E6%99%AF%E7%A5%A5-%E6%B8%AF%E5%85%AC%E6%B0%91%E7%A4%BE%E6%9C%83%E6%88%90%E7%86%9F-%E5%A4%A7%E9%99%B8%E5%9F%8E%E5%B8%82%E8%BF%BD%E4%B8%8D%E4%B8%8A%E5%AD%B8%E4%B8%8D%E4%BE%86,yes,http://web.archive.org/web/20211229103058/https://www.thestandnews.com/politics/%E9%99%B3%E6%99%AF%E7%A5%A5-%E6%B8%AF%E5%85%AC%E6%B0%91%E7%A4%BE%E6%9C%83%E6%88%90%E7%86%9F-%E5%A4%A7%E9%99%B8%E5%9F%8E%E5%B8%82%E8%BF%BD%E4%B8%8D%E4%B8%8A%E5%AD%B8%E4%B8%8D%E4%BE%86,
https://www.thestandnews.com/politics/%E6%A2%81%E6%8C%AF%E8%8B%B1-%E5%8C%97%E9%9F%93-%E4%B8%AD%E5%85%B1%E9%83%BD%E4%BF%82%E7%9C%9F%E6%99%AE%E9%81%B8,yes,https://web.archive.org/web/20211229101822/https://www.thestandnews.com/politics/梁振英-北韓-中共都係真普選,
https://www.thestandnews.com/politics/%E6%A2%81%E6%8C%AF%E8%8B%B1-%E5%8C%97%E9%9F%93-%E4%B8%AD%E5%85%B1%E9%83%BD%E4%BF%82%E7%9C%9F%E6%99%AE%E9%81%B8,yes,https://archive.ph/LsZkS,
https://www.thestandnews.com/politics/%E5%A4%A7%E5%BE%8B%E5%B8%AB%E5%85%AC%E6%9C%83%E5%B0%B1%E6%94%BF%E6%94%B9%E7%AC%AC%E4%BA%8C%E8%BC%AA%E8%AB%AE%E8%A9%A2%E6%84%8F%E8%A6%8B%E6%9B%B8%E5%85%A8%E6%96%87,yes,https://web.archive.org/web/20211229101920/https://www.thestandnews.com/politics/大律師公會就政改第二輪諮詢意見書全文,
https://www.thestandnews.com/international/%E5%B7%B4%E5%8B%92%E6%96%AF%E5%9D%A6%E6%AD%A3%E5%BC%8F%E5%8A%A0%E5%85%A5%E5%9C%8B%E9%9A%9B%E5%88%91%E4%BA%8B%E6%B3%95%E5%BA%AD,yes,https://web.archive.org/web/20211229102156/https://www.thestandnews.com/international/巴勒斯坦正式加入國際刑事法庭,
https://www.thestandnews.com/sport/%E7%9D%87%E7%89%87-c%E6%9C%97%E5%81%95%E5%85%92-%E6%BA%AB%E9%A6%A8%E6%93%8Dsit-up,yes,https://web.archive.org/web/20211229103232/https://www.thestandnews.com/sport/%E7%9D%87%E7%89%87-c%E6%9C%97%E5%81%95%E5%85%92-%E6%BA%AB%E9%A6%A8%E6%93%8Dsit-up,
